seed,train_start,train_end,eval_start,eval_end,auc
42,0,3,0,3,0.8457398076042144
42,0,3,3,6,0.8290936785986291
42,0,3,6,9,0.7556464811783962
42,0,3,9,12,0.679144385026738
42,3,6,3,6,0.8248286367098248
42,3,6,6,9,0.7350245499181669
42,3,6,9,12,0.7018716577540107
42,6,9,6,9,0.660556464811784
42,6,9,9,12,0.7211824123588829
42,9,12,9,12,0.6956327985739751
123,0,3,0,3,0.8546724690792488
123,0,3,3,6,0.8307692307692308
123,0,3,6,9,0.7597381342062194
123,0,3,9,12,0.6867201426024955
123,3,6,3,6,0.8243716679360245
123,3,6,6,9,0.7405891980360065
123,3,6,9,12,0.6944444444444444
123,6,9,6,9,0.6741407528641571
123,6,9,9,12,0.7243018419489008
123,9,12,9,12,0.6925133689839573
777,0,3,0,3,0.8527256069628952
777,0,3,3,6,0.8324447829398325
777,0,3,6,9,0.7679214402618658
777,0,3,9,12,0.6931075460487225
777,3,6,3,6,0.835948210205636
777,3,6,6,9,0.7438625204582652
777,3,6,9,12,0.6905822935234701
777,6,9,6,9,0.6667757774140752
777,6,9,9,12,0.7179144385026739
777,9,12,9,12,0.6922162804515745
2024,0,3,0,3,0.8489464040311498
2024,0,3,3,6,0.8322924600152323
2024,0,3,6,9,0.765139116202946
2024,0,3,9,12,0.6870172311348782
2024,3,6,3,6,0.8194973343488194
2024,3,6,6,9,0.7378068739770868
2024,3,6,9,12,0.6999405822935235
2024,6,9,6,9,0.662847790507365
2024,6,9,9,12,0.7182115270350563
2024,9,12,9,12,0.6836007130124776
9999,0,3,0,3,0.837150710032066
9999,0,3,3,6,0.8237623762376238
9999,0,3,6,9,0.7587561374795417
9999,0,3,9,12,0.6941473559120618
9999,3,6,3,6,0.8204112718964204
9999,3,6,6,9,0.7432078559738134
9999,3,6,9,12,0.7082590612002377
9999,6,9,6,9,0.6829787234042554
9999,6,9,9,12,0.7229649435531789
9999,9,12,9,12,0.6916221033868093
