accuracy,tp_rate,tn_rate,fp_rate,fn_rate,sensitivity,specificity,positive_predictive_value,negative_predictive_value,learning_months,prediction_months,n_trajectories,continuation_rate,auc_roc,f1,tn,fp,fn,tp
0.85,0.85,0.0,0.15,0.0,1.0,0.0,0.85,0.0,3,3,100,76.0,0.607843137254902,0.918918918918919,0,3,0,17
0.8,0.8,0.0,0.2,0.0,1.0,0.0,0.8,0.0,3,6,100,74.0,0.90625,0.8888888888888888,0,4,0,16
0.8,0.8,0.0,0.2,0.0,1.0,0.0,0.8,0.0,3,9,100,70.0,0.7890625,0.8888888888888888,0,4,0,16
0.7,0.7,0.0,0.3,0.0,1.0,0.0,0.7,0.0,3,12,100,68.0,0.5595238095238095,0.8235294117647058,0,6,0,14
0.5925925925925926,0.5925925925925926,0.0,0.4074074074074074,0.0,1.0,0.0,0.5925925925925926,0.0,6,3,134,67.91044776119402,0.8380681818181819,0.7441860465116279,0,11,0,16
0.5555555555555556,0.5555555555555556,0.0,0.4444444444444444,0.0,1.0,0.0,0.5555555555555556,0.0,6,6,134,65.67164179104478,0.8,0.7142857142857143,0,12,0,15
0.6296296296296297,0.2962962962962963,0.3333333333333333,0.037037037037037035,0.3333333333333333,0.47058823529411764,0.9,0.8888888888888888,0.5,6,9,134,61.19402985074627,0.723529411764706,0.6153846153846154,9,1,9,8
0.5185185185185185,0.18518518518518517,0.3333333333333333,0.0,0.48148148148148145,0.2777777777777778,1.0,1.0,0.4090909090909091,6,12,134,59.70149253731343,0.808641975308642,0.4347826086956521,9,0,13,5
0.46875,0.125,0.34375,0.0625,0.46875,0.21052631578947367,0.8461538461538461,0.6666666666666666,0.4230769230769231,9,3,159,64.77987421383648,0.6153846153846154,0.32,11,2,15,4
0.625,0.3125,0.3125,0.03125,0.34375,0.47619047619047616,0.9090909090909091,0.9090909090909091,0.47619047619047616,9,6,159,62.264150943396224,0.8138528138528138,0.625,10,1,11,10
0.625,0.25,0.375,0.03125,0.34375,0.42105263157894735,0.9230769230769231,0.8888888888888888,0.5217391304347826,9,9,159,58.490566037735846,0.7611336032388665,0.5714285714285714,12,1,11,8
0.6875,0.15625,0.53125,0.0,0.3125,0.3333333333333333,1.0,1.0,0.6296296296296297,9,12,159,56.60377358490566,0.7725490196078432,0.5,17,0,10,5
0.5,0.15789473684210525,0.34210526315789475,0.0,0.5,0.24,1.0,1.0,0.40625,12,3,187,60.42780748663101,0.6907692307692308,0.3870967741935484,13,0,19,6
0.5263157894736842,0.18421052631578946,0.34210526315789475,0.02631578947368421,0.4473684210526316,0.2916666666666667,0.9285714285714286,0.875,0.43333333333333335,12,6,187,58.288770053475936,0.7008928571428571,0.4375,13,1,17,7
0.7894736842105263,0.18421052631578946,0.6052631578947368,0.02631578947368421,0.18421052631578946,0.5,0.9583333333333334,0.875,0.7666666666666667,12,9,187,54.54545454545454,0.8645833333333334,0.6363636363636364,23,1,7,7
0.6578947368421053,0.18421052631578946,0.47368421052631576,0.02631578947368421,0.3157894736842105,0.3684210526315789,0.9473684210526315,0.875,0.6,12,12,187,52.406417112299465,0.7839335180055401,0.5185185185185185,18,1,12,7
