accuracy,tp_rate,tn_rate,fp_rate,fn_rate,sensitivity,specificity,positive_predictive_value,negative_predictive_value,learning_months,prediction_months,n_trajectories,continuation_rate,auc_roc,f1,tn,fp,fn,tp
0.4,0.4,0.0,0.6,0.0,1.0,0.0,0.4,0.0,3,3,25,56.00000000000001,0.5,0.5714285714285714,0,3,0,2
0.4,0.4,0.0,0.6,0.0,1.0,0.0,0.4,0.0,3,6,25,48.0,0.5,0.5714285714285714,0,3,0,2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,9,25,48.0,,0.0,0,5,0,0
0.2,0.2,0.0,0.8,0.0,1.0,0.0,0.2,0.0,3,12,25,44.0,0.75,0.3333333333333333,0,4,0,1
0.75,0.125,0.625,0.0,0.25,0.3333333333333333,1.0,1.0,0.7142857142857143,6,3,36,44.44444444444444,0.6666666666666666,0.5,5,0,2,1
0.875,0.0,0.875,0.0,0.125,0.0,1.0,0.0,0.875,6,6,36,38.88888888888889,1.0,0.0,7,0,1,0
0.625,0.0,0.625,0.0,0.375,0.0,1.0,0.0,0.625,6,9,36,38.88888888888889,0.9333333333333332,0.0,5,0,3,0
0.375,0.0,0.375,0.0,0.625,0.0,1.0,0.0,0.375,6,12,36,36.11111111111111,0.6,0.0,3,0,5,0
0.4444444444444444,0.0,0.4444444444444444,0.0,0.5555555555555556,0.0,1.0,0.0,0.4444444444444444,9,3,42,45.23809523809524,0.35,0.0,4,0,5,0
0.5555555555555556,0.0,0.5555555555555556,0.0,0.4444444444444444,0.0,1.0,0.0,0.5555555555555556,9,6,42,40.476190476190474,0.3,0.0,5,0,4,0
0.5555555555555556,0.0,0.5555555555555556,0.0,0.4444444444444444,0.0,1.0,0.0,0.5555555555555556,9,9,42,40.476190476190474,1.0,0.0,5,0,4,0
0.6666666666666666,0.0,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.0,0.8571428571428571,0.0,0.75,9,12,42,38.095238095238095,0.4285714285714286,0.0,6,1,2,0
0.6,0.2,0.4,0.0,0.4,0.3333333333333333,1.0,1.0,0.5,12,3,49,42.857142857142854,0.7916666666666666,0.5,4,0,4,2
0.6,0.0,0.6,0.0,0.4,0.0,1.0,0.0,0.6,12,6,49,38.775510204081634,1.0,0.0,6,0,4,0
0.7,0.1,0.6,0.0,0.3,0.25,1.0,1.0,0.6666666666666666,12,9,49,38.775510204081634,0.5833333333333334,0.4,6,0,3,1
0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,12,12,49,36.734693877551024,0.72,0.0,5,0,5,0
