accuracy,tp_rate,tn_rate,fp_rate,fn_rate,sensitivity,specificity,positive_predictive_value,negative_predictive_value,learning_months,prediction_months,n_trajectories,continuation_rate,auc_roc,f1,tn,fp,fn,tp
0.5555555555555556,0.5555555555555556,0.0,0.4444444444444444,0.0,1.0,0.0,0.5555555555555556,0.0,3,3,88,68.18181818181817,0.8375000000000001,0.7142857142857143,0,8,0,10
0.6111111111111112,0.6111111111111112,0.0,0.3888888888888889,0.0,1.0,0.0,0.6111111111111112,0.0,3,6,88,61.36363636363637,0.7792207792207793,0.7586206896551724,0,7,0,11
0.6111111111111112,0.3333333333333333,0.2777777777777778,0.0,0.3888888888888889,0.46153846153846156,1.0,1.0,0.4166666666666667,3,9,88,57.95454545454546,0.9230769230769232,0.631578947368421,5,0,7,6
0.2777777777777778,0.2777777777777778,0.0,0.7222222222222222,0.0,1.0,0.0,0.2777777777777778,0.0,3,12,88,56.81818181818182,0.8923076923076922,0.4347826086956521,0,13,0,5
0.56,0.56,0.0,0.44,0.0,1.0,0.0,0.56,0.0,6,3,124,60.483870967741936,0.6493506493506493,0.717948717948718,0,11,0,14
0.64,0.28,0.36,0.0,0.36,0.4375,1.0,1.0,0.5,6,6,124,54.83870967741935,0.8194444444444446,0.6086956521739131,9,0,9,7
0.76,0.24,0.52,0.0,0.24,0.5,1.0,1.0,0.6842105263157895,6,9,124,51.61290322580645,0.8076923076923077,0.6666666666666666,13,0,6,6
0.68,0.16,0.52,0.0,0.32,0.3333333333333333,1.0,1.0,0.6190476190476191,6,12,124,50.806451612903224,0.7756410256410255,0.5,13,0,8,4
0.6,0.2,0.4,0.0,0.4,0.3333333333333333,1.0,1.0,0.5,9,3,150,53.333333333333336,0.8148148148148148,0.5,12,0,12,6
0.7666666666666667,0.23333333333333334,0.5333333333333333,0.0,0.23333333333333334,0.5,1.0,1.0,0.6956521739130435,9,6,150,48.66666666666667,0.7566964285714286,0.6666666666666666,16,0,7,7
0.7333333333333333,0.3,0.43333333333333335,0.0,0.26666666666666666,0.5294117647058824,1.0,1.0,0.6190476190476191,9,9,150,45.33333333333333,0.8597285067873303,0.6923076923076923,13,0,8,9
0.6,0.1,0.5,0.03333333333333333,0.36666666666666664,0.21428571428571427,0.9375,0.75,0.5769230769230769,9,12,150,44.666666666666664,0.7633928571428572,0.3333333333333333,15,1,11,3
0.7948717948717948,0.3076923076923077,0.48717948717948717,0.0,0.20512820512820512,0.6,1.0,1.0,0.7037037037037037,12,3,194,44.84536082474227,0.8657894736842106,0.75,19,0,8,12
0.717948717948718,0.15384615384615385,0.5641025641025641,0.0,0.28205128205128205,0.35294117647058826,1.0,1.0,0.6666666666666666,12,6,194,40.20618556701031,0.8021390374331551,0.5217391304347826,22,0,11,6
0.7948717948717948,0.2564102564102564,0.5384615384615384,0.02564102564102564,0.1794871794871795,0.5882352941176471,0.9545454545454546,0.9090909090909091,0.75,12,9,194,37.11340206185567,0.8155080213903743,0.7142857142857143,21,1,7,10
0.7692307692307693,0.15384615384615385,0.6153846153846154,0.02564102564102564,0.20512820512820512,0.42857142857142855,0.96,0.8571428571428571,0.75,12,12,194,36.597938144329895,0.8200000000000001,0.5714285714285714,24,1,8,6
