accuracy,tp_rate,tn_rate,fp_rate,fn_rate,sensitivity,specificity,positive_predictive_value,negative_predictive_value,learning_months,prediction_months,n_trajectories,continuation_rate,auc_roc,f1,tn,fp,fn,tp
0.5625,0.5625,0.0,0.4375,0.0,1.0,0.0,0.5625,0.0,3,3,80,60.0,0.7063492063492064,0.72,0,7,0,9
0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,3,6,80,58.75,0.7421875,0.6666666666666666,0,8,0,8
0.6875,0.25,0.4375,0.0,0.3125,0.4444444444444444,1.0,1.0,0.5833333333333334,3,9,80,56.25,0.6428571428571429,0.6153846153846154,7,0,5,4
0.5,0.1875,0.3125,0.0,0.5,0.2727272727272727,1.0,1.0,0.38461538461538464,3,12,80,56.25,0.7181818181818183,0.4285714285714285,5,0,8,3
0.52,0.12,0.4,0.0,0.48,0.2,1.0,1.0,0.45454545454545453,6,3,125,55.2,0.6599999999999999,0.3333333333333333,10,0,12,3
0.8,0.16,0.64,0.0,0.2,0.4444444444444444,1.0,1.0,0.7619047619047619,6,6,125,52.8,0.7534722222222222,0.6153846153846154,16,0,5,4
0.72,0.08,0.64,0.0,0.28,0.2222222222222222,1.0,1.0,0.6956521739130435,6,9,125,50.4,0.8541666666666666,0.3636363636363636,16,0,7,2
0.52,0.04,0.48,0.0,0.48,0.07692307692307693,1.0,1.0,0.5,6,12,125,49.6,0.7435897435897436,0.1428571428571428,12,0,12,1
0.5172413793103449,0.034482758620689655,0.4827586206896552,0.0,0.4827586206896552,0.06666666666666667,1.0,1.0,0.5,9,3,142,54.22535211267606,0.75,0.125,14,0,14,1
0.6896551724137931,0.2413793103448276,0.4482758620689655,0.034482758620689655,0.27586206896551724,0.4666666666666667,0.9285714285714286,0.875,0.6190476190476191,9,6,142,50.0,0.7380952380952381,0.6086956521739131,13,1,8,7
0.5517241379310345,0.06896551724137931,0.4827586206896552,0.0,0.4482758620689655,0.13333333333333333,1.0,1.0,0.5185185185185185,9,9,142,47.88732394366197,0.5333333333333333,0.2352941176470588,14,0,13,2
0.6896551724137931,0.1724137931034483,0.5172413793103449,0.0,0.3103448275862069,0.35714285714285715,1.0,1.0,0.625,9,12,142,47.183098591549296,0.6333333333333334,0.5263157894736842,15,0,9,5
0.7352941176470589,0.2647058823529412,0.47058823529411764,0.029411764705882353,0.23529411764705882,0.5294117647058824,0.9411764705882353,0.9,0.6666666666666666,12,3,168,48.214285714285715,0.7508650519031141,0.6666666666666666,16,1,8,9
0.7058823529411765,0.08823529411764706,0.6176470588235294,0.029411764705882353,0.2647058823529412,0.25,0.9545454545454546,0.75,0.7,12,6,168,44.642857142857146,0.7727272727272727,0.375,21,1,9,3
0.6470588235294118,0.058823529411764705,0.5882352941176471,0.029411764705882353,0.3235294117647059,0.15384615384615385,0.9523809523809523,0.6666666666666666,0.6451612903225806,12,9,168,42.857142857142854,0.5421245421245422,0.25,20,1,11,2
0.6764705882352942,0.14705882352941177,0.5294117647058824,0.058823529411764705,0.2647058823529412,0.35714285714285715,0.9,0.7142857142857143,0.6666666666666666,12,12,168,41.07142857142857,0.7250000000000001,0.4761904761904761,18,2,9,5
