train_range,eval_range,auc_roc,auc_pr,f1,precision,recall,positive_rate,test_samples
0-3,0-3,0.5487299113891666,0.6695916481815634,0.0,0.0,0.0,0.6077256077256077,3003
0-3,3-6,0.3621891188102267,0.48718967319594086,0.0,0.0,0.0,0.570425444031392,2421
0-3,6-9,0.74037637582359,0.7518331586596925,0.7008124337689863,0.5394235997824904,1.0,0.5394235997824904,1839
0-3,9-12,0.4131686648003895,0.4556913227958742,0.0,0.0,0.0,0.5031847133757962,1256
0-6,0-3,0.6400974486592088,0.7775936077633243,0.756006628003314,0.6077256077256077,1.0,0.6077256077256077,3003
0-6,3-6,0.6907317022224697,0.7574391968851113,0.7264597580220936,0.570425444031392,1.0,0.570425444031392,2421
0-6,6-9,0.654698032905511,0.7102155199344252,0.0,0.0,0.0,0.5394235997824904,1839
0-6,9-12,0.496021482473223,0.5299950236964983,0.0,0.0,0.0,0.5031847133757962,1256
0-9,0-3,0.646518594320534,0.7526961351547565,0.0,0.0,0.0,0.6077256077256077,3003
0-9,3-6,0.6942300729683061,0.7531048555872456,0.0014461315979754157,0.5,0.000724112961622013,0.570425444031392,2421
0-9,6-9,0.3708052852572647,0.46195887816585135,0.0,0.0,0.0,0.5394235997824904,1839
0-9,9-12,0.5820388571080819,0.6094238488911969,0.0,0.0,0.0,0.5031847133757962,1256
0-12,0-3,0.6476568132660419,0.7301408698976114,0.0,0.0,0.0,0.6077256077256077,3003
0-12,3-6,0.6928775831337379,0.7675728277738377,0.7264597580220936,0.570425444031392,1.0,0.570425444031392,2421
0-12,6-9,0.2868996838938188,0.4085220559956209,0.0,0.0,0.0,0.5394235997824904,1839
0-12,9-12,0.2432537629827978,0.37683750228157076,0.0,0.0,0.0,0.5031847133757962,1256
