feature,importance
activity_freq_90d,0.111032754
experience_days,0.102533065
lines_changed_30d,0.09811852
activity_freq_7d,0.097220525
avg_complexity_7d,0.094540745
cross_project_ratio,0.088886246
file_type_diversity,0.08792199
lines_changed_90d,0.087760456
avg_directory_depth,0.086297415
total_projects,0.08385291
concentration_score,0.08063891
avg_lines_per_change,0.07420539
avg_files_per_change,0.07381304
specialization_score,0.06339333
activity_freq_30d,0.06289574
avg_code_complexity,0.06236238
total_files_touched,0.056678947
total_changes,0.047911026
avg_complexity_30d,0.04651888
unique_collaborators,0.033626575
collaboration_score,0.02717431
path_similarity,0.025482647
lines_changed_7d,0.01971529
collaboration_diversity,0.014269548
recent_collaboration_trend,0.00976277
num_active_collaborations_30d,0.009601687
avg_interaction_strength,0.0048110355
experience_normalized,3.3682168e-38
top_collaborator_strength,3.185204e-38
review_load_7d,3.1686817e-38
review_load_30d,3.0472507e-38
review_load_90d,3.0097767e-38
