feature,weight,abs_weight,type,category
state_feat0_max,-0.838173,0.838173,state,temporal
action_feat1_last,0.8106983,0.8106983,action,temporal
state_feat16_min,0.80100137,0.80100137,state,temporal
state_feat15_short_mean,0.69878423,0.69878423,state,temporal
action_feat1_short_mean,0.6960137,0.6960137,action,temporal
action_feat1_max,-0.6844124,0.6844124,action,temporal
state_feat16_change,0.6661903,0.6661903,state,temporal
state_feat26_max,0.6575692,0.6575692,state,temporal
state_feat26_last,-0.6536936,0.6536936,state,temporal
state_feat11_min,0.6517482,0.6517482,state,temporal
action_feat1_change,0.6456257,0.6456257,action,temporal
action_feat7_max,0.63588417,0.63588417,action,temporal
state_feat3_min,-0.62190527,0.62190527,state,temporal
state_feat18_min,-0.6089079,0.6089079,state,temporal
state_feat0_volatility,0.5995016,0.5995016,state,temporal
state_feat10_last,0.5959908,0.5959908,state,temporal
state_feat10_trend,-0.55935544,0.55935544,state,temporal
state_feat31_short_mean,0.55790305,0.55790305,state,temporal
action_feat4_min,0.5562834,0.5562834,action,temporal
state_feat7_trend,0.5542325,0.5542325,state,temporal
state_feat12_change,-0.55184704,0.55184704,state,temporal
action_feat5_max,0.5514406,0.5514406,action,temporal
action_feat3_min,0.5495159,0.5495159,action,temporal
state_feat25_short_mean,-0.53893566,0.53893566,state,temporal
action_feat4_change,0.53860015,0.53860015,action,temporal
state_feat5_min,-0.51497257,0.51497257,state,temporal
state_feat9_min,0.49789312,0.49789312,state,temporal
action_feat4_last,0.49191424,0.49191424,action,temporal
state_feat22_max,-0.48840383,0.48840383,state,temporal
state_feat12_min,-0.48179713,0.48179713,state,temporal
state_feat11_max,0.4808435,0.4808435,state,temporal
state_feat25_mid_mean,0.47531745,0.47531745,state,temporal
state_feat22_last,0.4747386,0.4747386,state,temporal
action_feat1_step2_diff,-0.4663532,0.4663532,action,step_diff
state_feat16_short_mean,-0.4622278,0.4622278,state,temporal
state_feat12_short_mean,0.4618278,0.4618278,state,temporal
state_feat13_max,0.46110755,0.46110755,state,temporal
state_feat6_step1_diff,-0.45269784,0.45269784,state,step_diff
action_feat3_trend,-0.44679415,0.44679415,action,temporal
state_feat15_last,-0.44670832,0.44670832,state,temporal
state_feat16_last,0.44599867,0.44599867,state,temporal
state_feat26_trend,0.4411432,0.4411432,state,temporal
state_feat0_mid_mean,0.43429154,0.43429154,state,temporal
state_feat6_trend,0.43427747,0.43427747,state,temporal
state_feat17_max,-0.43002492,0.43002492,state,temporal
state_feat26_min,0.4277737,0.4277737,state,temporal
state_feat15_change,-0.41199458,0.41199458,state,temporal
state_feat21_step1_diff,-0.41096956,0.41096956,state,step_diff
state_feat21_max,0.40146777,0.40146777,state,temporal
action_feat5_last,-0.40100083,0.40100083,action,temporal
state_feat23_x_feat24_interaction,-0.40001315,0.40001315,state,interaction
state_feat5_max,-0.38942343,0.38942343,state,temporal
state_feat24_min,0.3891062,0.3891062,state,temporal
state_feat11_mean,-0.3851806,0.3851806,state,temporal
state_feat25_trend,0.38365212,0.38365212,state,temporal
state_feat25_min,-0.38214743,0.38214743,state,temporal
state_feat5_short_mean,0.37915185,0.37915185,state,temporal
state_feat13_step2_diff,0.37906784,0.37906784,state,step_diff
state_feat5_change,-0.3787909,0.3787909,state,temporal
state_feat30_min,0.37744394,0.37744394,state,temporal
state_feat29_trend,0.37580445,0.37580445,state,temporal
action_feat8_trend,-0.3756351,0.3756351,action,temporal
state_feat23_step5_diff,0.37465462,0.37465462,state,step_diff
state_feat1_step2_diff,-0.36816472,0.36816472,state,step_diff
state_feat16_step1_diff,-0.3677599,0.3677599,state,step_diff
state_feat25_last,-0.3673165,0.3673165,state,temporal
state_feat15_min,-0.3656478,0.3656478,state,temporal
action_feat4_trend,-0.36316183,0.36316183,action,temporal
action_feat6_short_mean,-0.36271057,0.36271057,action,temporal
