feature,weight,abs_weight,type
lstm_hidden_50,3.0066388,3.0066388,lstm
lstm_hidden_26,-2.0999753,2.0999753,lstm
lstm_hidden_52,1.7585423,1.7585423,lstm
lstm_hidden_23,-1.7310221,1.7310221,lstm
lstm_hidden_9,-1.1746253,1.1746253,lstm
lstm_hidden_44,0.9743487,0.9743487,lstm
lstm_hidden_58,0.9691063,0.9691063,lstm
lstm_hidden_25,0.9374056,0.9374056,lstm
lstm_hidden_48,-0.9143151,0.9143151,lstm
lstm_hidden_49,-0.89381313,0.89381313,lstm
lstm_hidden_51,-0.8671389,0.8671389,lstm
lstm_hidden_47,-0.8548807,0.8548807,lstm
lstm_hidden_42,-0.8211134,0.8211134,lstm
lstm_hidden_21,0.80799675,0.80799675,lstm
lstm_hidden_8,0.7802052,0.7802052,lstm
lstm_hidden_38,-0.7757352,0.7757352,lstm
lstm_hidden_46,-0.7675205,0.7675205,lstm
lstm_hidden_30,-0.72914785,0.72914785,lstm
lstm_hidden_18,-0.7226299,0.7226299,lstm
lstm_hidden_20,-0.68042165,0.68042165,lstm
lstm_hidden_41,0.6694521,0.6694521,lstm
lstm_hidden_35,-0.6631381,0.6631381,lstm
lstm_hidden_60,-0.65190774,0.65190774,lstm
lstm_hidden_55,-0.6401558,0.6401558,lstm
lstm_hidden_27,-0.6224341,0.6224341,lstm
lstm_hidden_43,-0.6008221,0.6008221,lstm
lstm_hidden_39,-0.5717214,0.5717214,lstm
lstm_hidden_29,0.54109067,0.54109067,lstm
lstm_hidden_1,-0.5402049,0.5402049,lstm
lstm_hidden_11,0.5392063,0.5392063,lstm
lstm_hidden_4,0.53238976,0.53238976,lstm
lstm_hidden_2,0.5236959,0.5236959,lstm
lstm_hidden_40,-0.515274,0.515274,lstm
lstm_hidden_10,-0.5070669,0.5070669,lstm
lstm_hidden_28,0.50509405,0.50509405,lstm
lstm_hidden_16,-0.5022296,0.5022296,lstm
lstm_hidden_54,0.47874063,0.47874063,lstm
lstm_hidden_24,-0.4758121,0.4758121,lstm
lstm_hidden_56,-0.45980167,0.45980167,lstm
lstm_hidden_62,0.45008698,0.45008698,lstm
lstm_hidden_59,0.44454658,0.44454658,lstm
lstm_hidden_14,0.42841443,0.42841443,lstm
lstm_hidden_0,-0.42257306,0.42257306,lstm
lstm_hidden_45,-0.4159368,0.4159368,lstm
lstm_hidden_12,0.4116039,0.4116039,lstm
lstm_hidden_22,0.4062569,0.4062569,lstm
lstm_hidden_17,0.40055916,0.40055916,lstm
lstm_hidden_37,-0.39666274,0.39666274,lstm
lstm_hidden_7,-0.38810116,0.38810116,lstm
lstm_hidden_61,-0.38154516,0.38154516,lstm
lstm_hidden_57,0.37910238,0.37910238,lstm
lstm_hidden_31,-0.36365107,0.36365107,lstm
lstm_hidden_33,0.34144908,0.34144908,lstm
lstm_hidden_53,-0.32106027,0.32106027,lstm
lstm_hidden_6,-0.3153986,0.3153986,lstm
lstm_hidden_63,0.28221163,0.28221163,lstm
lstm_hidden_32,0.27355516,0.27355516,lstm
lstm_hidden_3,0.25610647,0.25610647,lstm
lstm_hidden_13,-0.25068843,0.25068843,lstm
lstm_hidden_15,0.23423856,0.23423856,lstm
lstm_hidden_34,0.22858104,0.22858104,lstm
lstm_hidden_19,0.21867247,0.21867247,lstm
lstm_hidden_5,0.21501878,0.21501878,lstm
lstm_hidden_36,-0.18281692,0.18281692,lstm
