history_months,target_months,reference_period_months,target_reviewer_count,sequence_mode,seq_len,train_samples,test_samples,auc_roc,auc_pr,accuracy,precision,recall,f1,model_path
3,3,6,320,True,15,176,44,0.8729166666666668,0.9054147459706834,0.7727272727272727,0.7083333333333334,0.85,0.7727272727272727,importants/irl_matrix_2022q3/models/irl_h3m_t3m_fixed_seq.pth
3,6,6,320,True,15,176,44,0.8052631578947369,0.8826658803830655,0.7272727272727273,0.782608695652174,0.72,0.75,importants/irl_matrix_2022q3/models/irl_h3m_t6m_fixed_seq.pth
3,9,6,320,True,15,176,44,0.763095238095238,0.9013032297254601,0.6818181818181818,0.6818181818181818,1.0,0.8108108108108109,importants/irl_matrix_2022q3/models/irl_h3m_t9m_fixed_seq.pth
3,12,6,320,True,15,176,44,0.7704714640198511,0.9168255031962382,0.7045454545454546,0.7045454545454546,1.0,0.8266666666666667,importants/irl_matrix_2022q3/models/irl_h3m_t12m_fixed_seq.pth
6,3,6,320,True,15,256,64,0.8702564102564102,0.8479703417253805,0.875,0.9047619047619048,0.76,0.8260869565217391,importants/irl_matrix_2022q3/models/irl_h6m_t3m_fixed_seq.pth
6,6,6,320,True,15,256,64,0.736328125,0.7927899795054844,0.765625,0.8695652173913043,0.625,0.7272727272727273,importants/irl_matrix_2022q3/models/irl_h6m_t6m_fixed_seq.pth
6,9,6,320,True,15,256,64,0.7267267267267268,0.8353417538005211,0.6875,0.9473684210526315,0.4864864864864865,0.6428571428571429,importants/irl_matrix_2022q3/models/irl_h6m_t9m_fixed_seq.pth
6,12,6,320,True,15,256,64,0.7427427427427429,0.8470028240146001,0.71875,0.8518518518518519,0.6216216216216216,0.71875,importants/irl_matrix_2022q3/models/irl_h6m_t12m_fixed_seq.pth
9,3,6,320,True,15,256,64,0.9174358974358975,0.903968620365867,0.84375,0.8571428571428571,0.72,0.782608695652174,importants/irl_matrix_2022q3/models/irl_h9m_t3m_fixed_seq.pth
9,6,6,320,True,15,256,64,0.787109375,0.8424571271014893,0.78125,0.95,0.59375,0.7307692307692307,importants/irl_matrix_2022q3/models/irl_h9m_t6m_fixed_seq.pth
9,9,6,320,True,15,256,64,0.7607607607607608,0.8567877441027429,0.703125,0.875,0.5675675675675675,0.6885245901639344,importants/irl_matrix_2022q3/models/irl_h9m_t9m_fixed_seq.pth
9,12,6,320,True,15,256,64,0.7647647647647647,0.8464766064966194,0.71875,0.88,0.5945945945945946,0.7096774193548387,importants/irl_matrix_2022q3/models/irl_h9m_t12m_fixed_seq.pth
12,3,6,320,True,15,256,64,0.921025641025641,0.8965295978811026,0.8125,0.782608695652174,0.72,0.75,importants/irl_matrix_2022q3/models/irl_h12m_t3m_fixed_seq.pth
12,6,6,320,True,15,256,64,0.779296875,0.8373130180942242,0.75,0.8636363636363636,0.59375,0.7037037037037037,importants/irl_matrix_2022q3/models/irl_h12m_t6m_fixed_seq.pth
12,9,6,320,True,15,256,64,0.8308308308308309,0.8981535552838172,0.734375,0.9166666666666666,0.5945945945945946,0.7213114754098361,importants/irl_matrix_2022q3/models/irl_h12m_t9m_fixed_seq.pth
12,12,6,320,True,15,256,64,0.8588588588588589,0.895722811497375,0.765625,0.8666666666666667,0.7027027027027027,0.7761194029850746,importants/irl_matrix_2022q3/models/irl_h12m_t12m_fixed_seq.pth
