history_months,target_months,sequence_mode,seq_len,train_samples,test_samples,auc_roc,auc_pr,accuracy,precision,recall,f1,model_path
3,3,True,15,92,23,0.7307692307692308,0.7454702913116924,0.7391304347826086,0.7692307692307693,0.7692307692307693,0.7692307692307693,outputs/irl_openstack_real/models/irl_h3m_t3m_seq.pth
3,6,True,15,92,23,0.4444444444444444,0.8194847957888072,0.7391304347826086,0.7727272727272727,0.9444444444444444,0.85,outputs/irl_openstack_real/models/irl_h3m_t6m_seq.pth
3,9,True,15,92,23,0.6833333333333333,0.9493784677916126,0.8695652173913043,0.8695652173913043,1.0,0.9302325581395349,outputs/irl_openstack_real/models/irl_h3m_t9m_seq.pth
3,12,True,15,92,23,0.6818181818181818,0.9834966642080423,0.9565217391304348,0.9565217391304348,1.0,0.9777777777777777,outputs/irl_openstack_real/models/irl_h3m_t12m_seq.pth
6,3,True,15,148,38,0.8423295454545454,0.8684444571573788,0.5,1.0,0.13636363636363635,0.24,outputs/irl_openstack_real/models/irl_h6m_t3m_seq.pth
6,6,True,15,148,38,0.8020833333333334,0.8572842419170913,0.7105263157894737,0.782608695652174,0.75,0.7659574468085106,outputs/irl_openstack_real/models/irl_h6m_t6m_seq.pth
6,9,True,15,148,38,0.7569230769230768,0.8583294211405917,0.7368421052631579,0.8260869565217391,0.76,0.7916666666666666,outputs/irl_openstack_real/models/irl_h6m_t9m_seq.pth
6,12,True,15,148,38,0.7178571428571429,0.877484518318253,0.7368421052631579,0.7368421052631579,1.0,0.8484848484848485,outputs/irl_openstack_real/models/irl_h6m_t12m_seq.pth
9,3,True,15,190,48,0.8529945553539019,0.7544346221761108,0.7916666666666666,0.9090909090909091,0.5263157894736842,0.6666666666666666,outputs/irl_openstack_real/models/irl_h9m_t3m_seq.pth
9,6,True,15,190,48,0.7495652173913044,0.7550307955445956,0.6875,0.9166666666666666,0.44,0.5945945945945946,outputs/irl_openstack_real/models/irl_h9m_t6m_seq.pth
9,9,True,15,190,48,0.7266313932980599,0.7600468395311207,0.6458333333333334,0.8571428571428571,0.4444444444444444,0.5853658536585366,outputs/irl_openstack_real/models/irl_h9m_t9m_seq.pth
9,12,True,15,190,48,0.7622504537205083,0.8255211999236156,0.6875,0.8888888888888888,0.5517241379310345,0.6808510638297872,outputs/irl_openstack_real/models/irl_h9m_t12m_seq.pth
12,3,True,15,199,50,0.7772435897435899,0.7088649326825955,0.74,0.8235294117647058,0.5833333333333334,0.6829268292682927,outputs/irl_openstack_real/models/irl_h12m_t3m_seq.pth
12,6,True,15,199,50,0.8550724637681159,0.8773988050982129,0.8,0.84,0.7777777777777778,0.8076923076923077,outputs/irl_openstack_real/models/irl_h12m_t6m_seq.pth
12,9,True,15,199,50,0.7987012987012987,0.8164414417113318,0.78,0.84,0.75,0.7924528301886793,outputs/irl_openstack_real/models/irl_h12m_t9m_seq.pth
12,12,True,15,199,50,0.7914614121510674,0.8147219639326322,0.78,0.875,0.7241379310344828,0.7924528301886793,outputs/irl_openstack_real/models/irl_h12m_t12m_seq.pth
