learning_months,prediction_months,project,n_trajectories,continuation_rate,auc_roc,auc_pr,f1,precision,recall,tn,fp,fn,tp,model_path,predictions_path
3,3,all,255,70.19607843137254,0.7846020761245673,0.8958946382935857,0.8,0.6666666666666666,1.0,0,17,0,34,importants/irl_probabilities_2022/models/multi_project/irl_h3m_t3m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h3m_t3m.csv
3,6,all,255,66.66666666666666,0.7007722007722008,0.8749100774926188,0.8409090909090909,0.7254901960784313,1.0,0,14,0,37,importants/irl_probabilities_2022/models/multi_project/irl_h3m_t6m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h3m_t6m.csv
3,9,all,255,64.31372549019608,0.7959677419354839,0.8769647365472925,0.7560975609756098,0.6078431372549019,1.0,0,20,0,31,importants/irl_probabilities_2022/models/multi_project/irl_h3m_t9m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h3m_t9m.csv
3,12,all,255,63.13725490196078,0.728956228956229,0.8497955080009778,0.7857142857142857,0.6470588235294118,1.0,0,18,0,33,importants/irl_probabilities_2022/models/multi_project/irl_h3m_t12m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h3m_t12m.csv
6,3,all,340,62.64705882352941,0.6879432624113475,0.8766019452278966,0.5970149253731343,1.0,0.425531914893617,21,0,27,20,importants/irl_probabilities_2022/models/multi_project/irl_h6m_t3m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h6m_t3m.csv
6,6,all,340,58.529411764705884,0.8513257575757575,0.9262933605221018,0.5806451612903226,1.0,0.4090909090909091,24,0,26,18,importants/irl_probabilities_2022/models/multi_project/irl_h6m_t6m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h6m_t6m.csv
6,9,all,340,56.1764705882353,0.7493224932249322,0.8518382208882433,0.36,1.0,0.21951219512195122,27,0,32,9,importants/irl_probabilities_2022/models/multi_project/irl_h6m_t9m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h6m_t9m.csv
6,12,all,340,55.294117647058826,0.6423010380622838,0.7526722034954758,0.5531914893617021,1.0,0.38235294117647056,34,0,21,13,importants/irl_probabilities_2022/models/multi_project/irl_h6m_t12m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h6m_t12m.csv
9,3,all,387,60.46511627906976,0.7970225127087872,0.8893301946818621,0.5753424657534246,0.9545454545454546,0.4117647058823529,26,1,30,21,importants/irl_probabilities_2022/models/multi_project/irl_h9m_t3m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h9m_t3m.csv
9,6,all,387,56.58914728682171,0.8698099929627023,0.9313736600723921,0.6933333333333334,1.0,0.5306122448979592,29,0,23,26,importants/irl_probabilities_2022/models/multi_project/irl_h9m_t6m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h9m_t6m.csv
9,9,all,387,54.52196382428941,0.7417508417508417,0.8395376451956533,0.676056338028169,0.9230769230769231,0.5333333333333333,31,2,21,24,importants/irl_probabilities_2022/models/multi_project/irl_h9m_t9m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h9m_t9m.csv
9,12,all,387,53.48837209302325,0.7953488372093024,0.844629635498875,0.6470588235294118,0.88,0.5116279069767442,32,3,21,22,importants/irl_probabilities_2022/models/multi_project/irl_h9m_t12m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h9m_t12m.csv
12,3,all,461,54.880694143167034,0.7796846011131725,0.8382117906099478,0.6233766233766234,0.8571428571428571,0.4897959183673469,40,4,25,24,importants/irl_probabilities_2022/models/multi_project/irl_h12m_t3m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h12m_t3m.csv
12,6,all,461,50.97613882863341,0.7669767441860466,0.8383605830197839,0.631578947368421,0.9230769230769231,0.48,41,2,26,24,importants/irl_probabilities_2022/models/multi_project/irl_h12m_t6m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h12m_t6m.csv
12,9,all,461,49.0238611713666,0.7679738562091504,0.8509323198680514,0.5,1.0,0.3333333333333333,42,0,34,17,importants/irl_probabilities_2022/models/multi_project/irl_h12m_t9m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h12m_t9m.csv
12,12,all,461,47.722342733188725,0.8332562442183165,0.8842041590896288,0.7441860465116279,0.8205128205128205,0.6808510638297872,39,7,15,32,importants/irl_probabilities_2022/models/multi_project/irl_h12m_t12m.pth,importants/irl_probabilities_2022/predictions/multi_project/predictions_h12m_t12m.csv
