history_months,target_months,sequence_mode,seq_len,train_samples,test_samples,auc_roc,auc_pr,accuracy,precision,recall,f1,model_path
3,3,True,15,53,14,0.7551020408163265,0.8576423576423575,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,importants/nova_paper_reproduction/models/irl_h3m_t3m_seq.pth
3,6,True,15,53,14,0.7083333333333333,0.845646540959041,0.6428571428571429,0.7142857142857143,0.625,0.6666666666666666,importants/nova_paper_reproduction/models/irl_h3m_t6m_seq.pth
3,9,True,15,53,14,0.7083333333333333,0.845646540959041,0.5714285714285714,0.6,0.75,0.6666666666666666,importants/nova_paper_reproduction/models/irl_h3m_t9m_seq.pth
3,12,True,15,53,14,0.6888888888888889,0.8511298886298888,0.6428571428571429,0.7,0.7777777777777778,0.7368421052631579,importants/nova_paper_reproduction/models/irl_h3m_t12m_seq.pth
6,3,True,15,81,21,0.7685185185185185,0.6426645658263306,0.7142857142857143,0.8,0.4444444444444444,0.5714285714285714,importants/nova_paper_reproduction/models/irl_h6m_t3m_seq.pth
6,6,True,15,81,21,0.8240740740740742,0.899986383442266,0.5714285714285714,1.0,0.25,0.4,importants/nova_paper_reproduction/models/irl_h6m_t6m_seq.pth
6,9,True,15,81,21,0.8148148148148149,0.8928735888294713,0.7142857142857143,1.0,0.5,0.6666666666666666,importants/nova_paper_reproduction/models/irl_h6m_t9m_seq.pth
6,12,True,15,81,21,0.8240740740740742,0.8936702458761284,0.7142857142857143,1.0,0.5,0.6666666666666666,importants/nova_paper_reproduction/models/irl_h6m_t12m_seq.pth
9,3,True,15,96,24,0.6993006993006994,0.6913527685920734,0.625,0.75,0.2727272727272727,0.4,importants/nova_paper_reproduction/models/irl_h9m_t3m_seq.pth
9,6,True,15,96,24,0.8357142857142856,0.8636329998199745,0.5833333333333334,0.75,0.42857142857142855,0.5454545454545454,importants/nova_paper_reproduction/models/irl_h9m_t6m_seq.pth
9,9,True,15,96,24,0.8785714285714286,0.8933113076232824,0.875,0.8666666666666667,0.9285714285714286,0.896551724137931,importants/nova_paper_reproduction/models/irl_h9m_t9m_seq.pth
9,12,True,15,96,24,0.9285714285714286,0.9482754902660365,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,importants/nova_paper_reproduction/models/irl_h9m_t12m_seq.pth
12,3,True,15,133,34,0.8266666666666665,0.7241169045802913,0.7941176470588235,1.0,0.2222222222222222,0.36363636363636365,importants/nova_paper_reproduction/models/irl_h12m_t3m_seq.pth
12,6,True,15,133,34,0.7747035573122529,0.6852509868797391,0.7352941176470589,0.75,0.2727272727272727,0.4,importants/nova_paper_reproduction/models/irl_h12m_t6m_seq.pth
12,9,True,15,133,34,0.6969696969696969,0.5722884017393013,0.7058823529411765,0.5833333333333334,0.5833333333333334,0.5833333333333334,importants/nova_paper_reproduction/models/irl_h12m_t9m_seq.pth
12,12,True,15,133,34,0.7424242424242424,0.7079300653634456,0.7647058823529411,0.7,0.5833333333333334,0.6363636363636364,importants/nova_paper_reproduction/models/irl_h12m_t12m_seq.pth
