learning_months,prediction_months,n_trajectories,n_test,continuation_rate,auc_roc,auc_pr,f1,precision,recall,tn,fp,fn,tp,model_path
3,3,255,51,70.19607843137254,0.3088803088803089,0.6138586109373766,0.8409090909090909,0.7254901960784313,1.0,0,14,0,37,importants/snapshot_irl_2022/models/reward_model_h3m_t3m.pth
3,6,255,51,66.66666666666666,0.15789473684210525,0.5989783737743036,0.3157894736842105,0.47368421052631576,0.23684210526315788,3,10,29,9,importants/snapshot_irl_2022/models/reward_model_h3m_t6m.pth
3,9,255,51,64.31372549019608,0.31504702194357365,0.5222036074750094,0.5,0.45714285714285713,0.5517241379310345,3,19,13,16,importants/snapshot_irl_2022/models/reward_model_h3m_t9m.pth
3,12,255,51,63.13725490196078,0.6516129032258065,0.760516132924087,0.6181818181818182,0.7083333333333334,0.5483870967741935,13,7,14,17,importants/snapshot_irl_2022/models/reward_model_h3m_t12m.pth
6,3,340,68,62.64705882352941,0.5479249011857709,0.699602633861965,0.8070175438596491,0.6764705882352942,1.0,0,22,0,46,importants/snapshot_irl_2022/models/reward_model_h6m_t3m.pth
6,6,340,68,58.529411764705884,0.5483720930232558,0.6689656896439857,0.7747747747747747,0.6323529411764706,1.0,0,25,0,43,importants/snapshot_irl_2022/models/reward_model_h6m_t6m.pth
6,9,340,68,56.1764705882353,0.6328125,0.5595883486542267,0.64,0.47058823529411764,1.0,0,36,0,32,importants/snapshot_irl_2022/models/reward_model_h6m_t9m.pth
6,12,340,68,55.294117647058826,0.5083996463306808,0.6522421856066181,0.6326530612244898,0.5254237288135594,0.7948717948717948,1,28,8,31,importants/snapshot_irl_2022/models/reward_model_h6m_t12m.pth
9,3,387,78,60.46511627906976,0.5326012354152369,0.7301766708875254,0.6355140186915887,0.5666666666666667,0.723404255319149,5,26,13,34,importants/snapshot_irl_2022/models/reward_model_h9m_t3m.pth
9,6,387,78,56.58914728682171,0.4256578947368421,0.5283387300377778,0.13953488372093023,1.0,0.075,38,0,37,3,importants/snapshot_irl_2022/models/reward_model_h9m_t6m.pth
9,9,387,78,54.52196382428941,0.3587962962962963,0.45073069375730934,0.6837606837606838,0.5333333333333333,0.9523809523809523,1,35,2,40,importants/snapshot_irl_2022/models/reward_model_h9m_t9m.pth
9,12,387,78,53.48837209302325,0.36478405315614615,0.5027131552230021,0.32432432432432434,0.3870967741935484,0.27906976744186046,16,19,31,12,importants/snapshot_irl_2022/models/reward_model_h9m_t12m.pth
12,3,461,93,54.880694143167034,0.4523255813953488,0.5078123152056819,0.6762589928057554,0.5280898876404494,0.94,1,42,3,47,importants/snapshot_irl_2022/models/reward_model_h12m_t3m.pth
12,6,461,93,50.97613882863341,0.48884140550807215,0.6564643613556007,0.5833333333333334,0.5303030303030303,0.6481481481481481,8,31,19,35,importants/snapshot_irl_2022/models/reward_model_h12m_t6m.pth
12,9,461,93,49.0238611713666,0.6867924528301887,0.6037051164321128,0.6015037593984962,0.43010752688172044,1.0,0,53,0,40,importants/snapshot_irl_2022/models/reward_model_h12m_t9m.pth
12,12,461,93,47.722342733188725,0.21069767441860465,0.3218804975017372,0.26804123711340205,0.24074074074074073,0.3023255813953488,9,41,30,13,importants/snapshot_irl_2022/models/reward_model_h12m_t12m.pth
