learning_months,prediction_months,n_trajectories,n_test,continuation_rate,auc_roc,auc_pr,f1,precision,recall,tn,fp,fn,tp,model_path
3,3,255,51,70.19607843137254,0.6214285714285714,0.7447262545508244,0.813953488372093,0.6862745098039216,1.0,0,16,0,35,importants/snapshot_irl_enhanced_2022/models/reward_model_h3m_t3m.pth
3,6,255,51,66.66666666666666,0.8289473684210527,0.9165421511623287,0.7945205479452054,0.7073170731707317,0.90625,7,12,3,29,importants/snapshot_irl_enhanced_2022/models/reward_model_h3m_t6m.pth
3,9,255,51,64.31372549019608,0.5465587044534412,0.7463778411134847,0.7901234567901234,0.7441860465116279,0.8421052631578947,2,11,6,32,importants/snapshot_irl_enhanced_2022/models/reward_model_h3m_t9m.pth
3,12,255,51,63.13725490196078,0.5555555555555556,0.6327911306020496,0.7407407407407407,0.5882352941176471,1.0,0,21,0,30,importants/snapshot_irl_enhanced_2022/models/reward_model_h3m_t12m.pth
6,3,340,68,62.64705882352941,0.703125,0.8782477184701947,0.8431372549019608,0.86,0.8269230769230769,9,7,9,43,importants/snapshot_irl_enhanced_2022/models/reward_model_h6m_t3m.pth
6,6,340,68,58.529411764705884,0.7830357142857143,0.8809751008464124,0.7407407407407407,0.5882352941176471,1.0,0,28,0,40,importants/snapshot_irl_enhanced_2022/models/reward_model_h6m_t6m.pth
6,9,340,68,56.1764705882353,0.7369791666666667,0.7551141673399039,0.6923076923076923,0.5294117647058824,1.0,0,32,0,36,importants/snapshot_irl_enhanced_2022/models/reward_model_h6m_t9m.pth
6,12,340,68,55.294117647058826,0.7506538796861378,0.7973179444381424,0.5660377358490566,0.9375,0.40540540540540543,30,1,22,15,importants/snapshot_irl_enhanced_2022/models/reward_model_h6m_t12m.pth
9,3,387,78,60.46511627906976,0.6809027777777779,0.7619570303920363,0.6744186046511628,0.7631578947368421,0.6041666666666666,21,9,19,29,importants/snapshot_irl_enhanced_2022/models/reward_model_h9m_t3m.pth
9,6,387,78,56.58914728682171,0.6350267379679145,0.7102753098347985,0.7213114754098361,0.5641025641025641,1.0,0,34,0,44,importants/snapshot_irl_enhanced_2022/models/reward_model_h9m_t6m.pth
9,9,387,78,54.52196382428941,0.6208754208754208,0.7694374190231079,0.6041666666666666,0.5686274509803921,0.6444444444444445,11,22,16,29,importants/snapshot_irl_enhanced_2022/models/reward_model_h9m_t9m.pth
9,12,387,78,53.48837209302325,0.7441077441077442,0.8147916031170223,0.7450980392156863,0.6666666666666666,0.8444444444444444,14,19,7,38,importants/snapshot_irl_enhanced_2022/models/reward_model_h9m_t12m.pth
12,3,461,93,54.880694143167034,0.584942084942085,0.7443079868096372,0.7432432432432432,0.5978260869565217,0.9821428571428571,0,37,1,55,importants/snapshot_irl_enhanced_2022/models/reward_model_h12m_t3m.pth
12,6,461,93,50.97613882863341,0.6323255813953488,0.7286847831069047,0.6811594202898551,0.5340909090909091,0.94,2,41,3,47,importants/snapshot_irl_enhanced_2022/models/reward_model_h12m_t6m.pth
12,9,461,93,49.0238611713666,0.7597132284921368,0.8151700745997904,0.5538461538461539,1.0,0.3829787234042553,46,0,29,18,importants/snapshot_irl_enhanced_2022/models/reward_model_h12m_t9m.pth
12,12,461,93,47.722342733188725,0.7065217391304349,0.7041319014856565,0.6618705035971223,0.4946236559139785,1.0,0,47,0,46,importants/snapshot_irl_enhanced_2022/models/reward_model_h12m_t12m.pth
