learning_months,prediction_months,project,n_trajectories,continuation_rate,auc_roc,auc_pr,f1,precision,recall,tn,fp,fn,tp,model_path
3,3,all,113,84.070796460177,0.8636363636363636,0.9881422924901185,0.9777777777777777,0.9565217391304348,1.0,0,1,0,22,importants/true_irl_comprehensive/models/multi_project/irl_h3m_t3m.pth
3,6,all,113,78.76106194690266,0.5441176470588236,0.796455992063033,0.85,0.7391304347826086,1.0,0,6,0,17,importants/true_irl_comprehensive/models/multi_project/irl_h3m_t6m.pth
3,9,all,113,77.87610619469027,0.5888888888888889,0.8717217900188916,0.8780487804878049,0.782608695652174,1.0,0,5,0,18,importants/true_irl_comprehensive/models/multi_project/irl_h3m_t9m.pth
3,12,all,113,73.45132743362832,0.8583333333333334,0.9765239265042402,0.9302325581395349,0.8695652173913043,1.0,0,3,0,20,importants/true_irl_comprehensive/models/multi_project/irl_h3m_t12m.pth
6,3,all,185,76.75675675675676,0.8690476190476191,0.9603799180210469,0.8615384615384616,0.7567567567567568,1.0,0,9,0,28,importants/true_irl_comprehensive/models/multi_project/irl_h6m_t3m.pth
6,6,all,185,72.43243243243244,0.7907407407407407,0.9271938520665173,0.84375,0.7297297297297297,1.0,0,10,0,27,importants/true_irl_comprehensive/models/multi_project/irl_h6m_t6m.pth
6,9,all,185,70.8108108108108,0.6983333333333334,0.8472689876253244,0.8064516129032258,0.6756756756756757,1.0,0,12,0,25,importants/true_irl_comprehensive/models/multi_project/irl_h6m_t9m.pth
6,12,all,185,65.94594594594595,0.5769230769230769,0.7925561988320854,0.7868852459016393,0.6486486486486487,1.0,0,13,0,24,importants/true_irl_comprehensive/models/multi_project/irl_h6m_t12m.pth
9,3,all,238,69.74789915966386,0.6117936117936118,0.8669131127863292,0.8705882352941177,0.7708333333333334,1.0,0,11,0,37,importants/true_irl_comprehensive/models/multi_project/irl_h9m_t3m.pth
9,6,all,238,65.96638655462185,0.8055555555555555,0.972048425477539,0.9333333333333333,0.875,1.0,0,6,0,42,importants/true_irl_comprehensive/models/multi_project/irl_h9m_t6m.pth
9,9,all,238,63.86554621848739,0.6791958041958042,0.7931927352958448,0.7027027027027027,0.5416666666666666,1.0,0,22,0,26,importants/true_irl_comprehensive/models/multi_project/irl_h9m_t9m.pth
9,12,all,238,60.08403361344538,0.7111111111111111,0.8384463579818037,0.7692307692307693,0.625,1.0,0,18,0,30,importants/true_irl_comprehensive/models/multi_project/irl_h9m_t12m.pth
12,3,all,249,68.67469879518072,0.6904761904761906,0.8843524060579919,0.8372093023255814,0.72,1.0,0,14,0,36,importants/true_irl_comprehensive/models/multi_project/irl_h12m_t3m.pth
12,6,all,249,65.06024096385542,0.7370766488413547,0.8322305071819679,0.7951807228915663,0.66,1.0,0,17,0,33,importants/true_irl_comprehensive/models/multi_project/irl_h12m_t6m.pth
12,9,all,249,63.05220883534136,0.5314091680814941,0.7087159198326332,0.7654320987654321,0.62,1.0,0,19,0,31,importants/true_irl_comprehensive/models/multi_project/irl_h12m_t9m.pth
12,12,all,249,59.036144578313255,0.6666666666666666,0.7002182492752745,0.6842105263157895,0.52,1.0,0,24,0,26,importants/true_irl_comprehensive/models/multi_project/irl_h12m_t12m.pth
