learning_months,prediction_months,project,n_trajectories,continuation_rate,auc_roc,auc_pr,f1,precision,recall,tn,fp,fn,tp,model_path
3,3,openstack/cinder,60,83.33333333333334,0.8333333333333333,0.941919191919192,0.8571428571428571,0.75,1.0,0,3,0,9,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h3m_t3m.pth
3,6,openstack/cinder,60,75.0,0.9259259259259259,0.9722222222222223,0.8571428571428571,0.75,1.0,0,3,0,9,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h3m_t6m.pth
3,9,openstack/cinder,60,75.0,0.5625,0.7288690476190476,0.8,0.6666666666666666,1.0,0,4,0,8,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h3m_t9m.pth
3,12,openstack/cinder,60,73.33333333333333,0.5249999999999999,0.8934920634920634,0.9090909090909091,0.8333333333333334,1.0,0,2,0,10,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h3m_t12m.pth
6,3,openstack/cinder,73,79.45205479452055,0.8181818181818182,0.9424242424242426,0.8461538461538461,0.7333333333333333,1.0,0,4,0,11,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h6m_t3m.pth
6,6,openstack/cinder,73,72.6027397260274,0.72,0.8777777777777777,0.8,0.6666666666666666,1.0,0,5,0,10,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h6m_t6m.pth
6,9,openstack/cinder,73,71.23287671232876,0.66,0.784978354978355,0.8,0.6666666666666666,1.0,0,5,0,10,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h6m_t9m.pth
6,12,openstack/cinder,73,67.12328767123287,0.6136363636363635,0.8388101797192706,0.8461538461538461,0.7333333333333333,1.0,0,4,0,11,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h6m_t12m.pth
9,3,openstack/cinder,91,71.42857142857143,0.9714285714285714,0.9910714285714286,0.8484848484848485,0.7368421052631579,1.0,0,5,0,14,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h9m_t3m.pth
9,6,openstack/cinder,91,65.93406593406593,0.6714285714285714,0.8964139403767886,0.8484848484848485,0.7368421052631579,1.0,0,5,0,14,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h9m_t6m.pth
9,9,openstack/cinder,91,64.83516483516483,0.6923076923076923,0.8839079948391688,0.8125,0.6842105263157895,1.0,0,6,0,13,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h9m_t9m.pth
9,12,openstack/cinder,91,61.53846153846154,0.8205128205128206,0.9300976800976799,0.631578947368421,1.0,0.46153846153846156,6,0,7,6,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h9m_t12m.pth
12,3,openstack/cinder,95,69.47368421052632,0.8461538461538461,0.9500674763832657,0.8125,0.6842105263157895,1.0,0,6,0,13,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h12m_t3m.pth
12,6,openstack/cinder,95,64.21052631578948,0.6666666666666666,0.828921568627451,0.7741935483870968,0.631578947368421,1.0,0,7,0,12,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h12m_t6m.pth
12,9,openstack/cinder,95,63.1578947368421,0.4464285714285715,0.5912836948053666,0.3333333333333333,0.5,0.25,4,3,9,3,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h12m_t9m.pth
12,12,openstack/cinder,95,58.94736842105262,0.8958333333333334,0.9805183531746032,0.6086956521739131,1.0,0.4375,3,0,9,7,importants/true_irl_comprehensive/models/project_openstack_cinder/irl_h12m_t12m.pth
