learning_months,prediction_months,project,n_trajectories,continuation_rate,auc_roc,auc_pr,f1,precision,recall,tn,fp,fn,tp,model_path
3,3,all,255,70.19607843137254,0.7880622837370242,0.8975987946951033,0.8,0.6666666666666666,1.0,0,17,0,34,importants/true_irl_comprehensive_2022/models/multi_project/irl_h3m_t3m.pth
3,6,all,255,66.66666666666666,0.6978764478764479,0.8744732770558186,0.8409090909090909,0.7254901960784313,1.0,0,14,0,37,importants/true_irl_comprehensive_2022/models/multi_project/irl_h3m_t6m.pth
3,9,all,255,64.31372549019608,0.7975806451612903,0.8778120951260676,0.7560975609756098,0.6078431372549019,1.0,0,20,0,31,importants/true_irl_comprehensive_2022/models/multi_project/irl_h3m_t9m.pth
3,12,all,255,63.13725490196078,0.728956228956229,0.8499449079800808,0.7857142857142857,0.6470588235294118,1.0,0,18,0,33,importants/true_irl_comprehensive_2022/models/multi_project/irl_h3m_t12m.pth
6,3,all,340,62.64705882352941,0.6879432624113475,0.8766019452278966,0.5970149253731343,1.0,0.425531914893617,21,0,27,20,importants/true_irl_comprehensive_2022/models/multi_project/irl_h6m_t3m.pth
6,6,all,340,58.529411764705884,0.8517992424242424,0.9271607488894902,0.5806451612903226,1.0,0.4090909090909091,24,0,26,18,importants/true_irl_comprehensive_2022/models/multi_project/irl_h6m_t6m.pth
6,9,all,340,56.1764705882353,0.7109304426377597,0.8443817987592332,0.4727272727272727,0.9285714285714286,0.3170731707317073,26,1,28,13,importants/true_irl_comprehensive_2022/models/multi_project/irl_h6m_t9m.pth
6,12,all,340,55.294117647058826,0.6405709342560553,0.7554408977707346,0.5531914893617021,1.0,0.38235294117647056,34,0,21,13,importants/true_irl_comprehensive_2022/models/multi_project/irl_h6m_t12m.pth
9,3,all,387,60.46511627906976,0.79920116194626,0.8902144677369603,0.5753424657534246,0.9545454545454546,0.4117647058823529,26,1,30,21,importants/true_irl_comprehensive_2022/models/multi_project/irl_h9m_t3m.pth
9,6,all,387,56.58914728682171,0.8712174524982408,0.9323034716764378,0.5588235294117647,1.0,0.3877551020408163,29,0,30,19,importants/true_irl_comprehensive_2022/models/multi_project/irl_h9m_t6m.pth
9,9,all,387,54.52196382428941,0.7407407407407407,0.838932806485976,0.676056338028169,0.9230769230769231,0.5333333333333333,31,2,21,24,importants/true_irl_comprehensive_2022/models/multi_project/irl_h9m_t9m.pth
9,12,all,387,53.48837209302325,0.7973421926910299,0.8453829628180398,0.6470588235294118,0.88,0.5116279069767442,32,3,21,22,importants/true_irl_comprehensive_2022/models/multi_project/irl_h9m_t12m.pth
12,3,all,461,54.880694143167034,0.7794526901669759,0.8379742286635257,0.631578947368421,0.8888888888888888,0.4897959183673469,41,3,25,24,importants/true_irl_comprehensive_2022/models/multi_project/irl_h12m_t3m.pth
12,6,all,461,50.97613882863341,0.766279069767442,0.8381181199191952,0.6582278481012658,0.896551724137931,0.52,40,3,24,26,importants/true_irl_comprehensive_2022/models/multi_project/irl_h12m_t6m.pth
12,9,all,461,49.0238611713666,0.7679738562091503,0.8512766057305445,0.5,1.0,0.3333333333333333,42,0,34,17,importants/true_irl_comprehensive_2022/models/multi_project/irl_h12m_t9m.pth
12,12,all,461,47.722342733188725,0.8332562442183165,0.8842041590896288,0.7441860465116279,0.8205128205128205,0.6808510638297872,39,7,15,32,importants/true_irl_comprehensive_2022/models/multi_project/irl_h12m_t12m.pth
