learning_months,prediction_months,project,n_trajectories,continuation_rate,auc_roc,auc_pr,f1,precision,recall,tn,fp,fn,tp,model_path
3,3,openstack/glance,21,52.38095238095239,0.75,0.8666666666666667,0.75,0.6,1.0,0,2,0,3,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h3m_t3m.pth
3,6,openstack/glance,21,52.38095238095239,0.25,0.25,0.3333333333333333,0.2,1.0,0,4,0,1,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h3m_t6m.pth
3,9,openstack/glance,21,52.38095238095239,1.0,1.0,0.75,0.6,1.0,0,2,0,3,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h3m_t9m.pth
3,12,openstack/glance,21,52.38095238095239,0.0,0.325,0.5714285714285714,0.4,1.0,0,3,0,2,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h3m_t12m.pth
6,3,openstack/glance,30,50.0,0.875,0.8333333333333333,0.5,0.3333333333333333,1.0,0,4,0,2,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h6m_t3m.pth
6,6,openstack/glance,30,50.0,0.4,0.8866666666666667,0.0,0.0,0.0,1,0,5,0,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h6m_t6m.pth
6,9,openstack/glance,30,50.0,,0.0,0.0,0.0,0.0,0,6,0,0,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h6m_t9m.pth
6,12,openstack/glance,30,50.0,0.8125,0.75,0.5,0.3333333333333333,1.0,0,4,0,2,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h6m_t12m.pth
9,3,openstack/glance,35,42.857142857142854,0.8333333333333334,0.5,0.0,0.0,0.0,6,0,1,0,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h9m_t3m.pth
9,6,openstack/glance,35,42.857142857142854,0.6666666666666666,0.9484126984126984,0.0,0.0,0.0,1,0,6,0,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h9m_t6m.pth
9,9,openstack/glance,35,42.857142857142854,0.4,0.7961904761904761,0.0,0.0,0.0,2,0,5,0,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h9m_t9m.pth
9,12,openstack/glance,35,42.857142857142854,1.0,1.0,1.0,1.0,1.0,5,0,0,2,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h9m_t12m.pth
12,3,openstack/glance,41,41.46341463414634,0.375,0.5444444444444445,0.0,0.0,0.0,4,0,5,0,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h12m_t3m.pth
12,6,openstack/glance,41,41.46341463414634,0.575,0.6926190476190477,0.3333333333333333,1.0,0.2,4,0,4,1,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h12m_t6m.pth
12,9,openstack/glance,41,41.46341463414634,0.6499999999999999,0.7611111111111111,0.4,1.0,0.25,5,0,3,1,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h12m_t9m.pth
12,12,openstack/glance,41,41.46341463414634,0.6944444444444444,0.5,0.0,0.0,0.0,5,1,3,0,importants/true_irl_comprehensive_2022/models/project_openstack_glance/irl_h12m_t12m.pth
