learning_months,prediction_months,project,n_trajectories,continuation_rate,auc_roc,auc_pr,f1,precision,recall,tn,fp,fn,tp,model_path
3,3,openstack/neutron,88,68.18181818181817,0.8375000000000001,0.9188235294117647,0.7142857142857143,0.5555555555555556,1.0,0,8,0,10,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h3m_t3m.pth
3,6,openstack/neutron,88,61.36363636363637,0.7792207792207793,0.8696099651982004,0.7586206896551724,0.6111111111111112,1.0,0,7,0,11,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h3m_t6m.pth
3,9,openstack/neutron,88,57.95454545454546,0.9230769230769231,0.975983292725374,0.631578947368421,1.0,0.46153846153846156,5,0,7,6,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h3m_t9m.pth
3,12,openstack/neutron,88,56.81818181818182,0.8923076923076922,0.8333333333333333,0.43478260869565216,0.2777777777777778,1.0,0,13,0,5,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h3m_t12m.pth
6,3,openstack/neutron,124,60.483870967741936,0.6493506493506493,0.7846302157226526,0.717948717948718,0.56,1.0,0,11,0,14,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h6m_t3m.pth
6,6,openstack/neutron,124,54.83870967741935,0.8194444444444446,0.9161354184232222,0.6086956521739131,1.0,0.4375,9,0,9,7,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h6m_t6m.pth
6,9,openstack/neutron,124,51.61290322580645,0.8076923076923077,0.8720238095238095,0.6666666666666666,1.0,0.5,13,0,6,6,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h6m_t9m.pth
6,12,openstack/neutron,124,50.806451612903224,0.7756410256410255,0.8364204014939309,0.5,1.0,0.3333333333333333,13,0,8,4,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h6m_t12m.pth
9,3,openstack/neutron,150,53.333333333333336,0.8148148148148148,0.8840499347955489,0.5,1.0,0.3333333333333333,12,0,12,6,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h9m_t3m.pth
9,6,openstack/neutron,150,48.66666666666667,0.7566964285714286,0.8266777204277204,0.6666666666666666,1.0,0.5,16,0,7,7,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h9m_t6m.pth
9,9,openstack/neutron,150,45.33333333333333,0.8597285067873303,0.9158532643826762,0.6923076923076923,1.0,0.5294117647058824,13,0,8,9,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h9m_t9m.pth
9,12,openstack/neutron,150,44.666666666666664,0.7633928571428572,0.7647753712815824,0.3333333333333333,0.75,0.21428571428571427,15,1,11,3,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h9m_t12m.pth
12,3,openstack/neutron,194,44.84536082474227,0.8657894736842106,0.9045116687979542,0.75,1.0,0.6,19,0,8,12,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h12m_t3m.pth
12,6,openstack/neutron,194,40.20618556701031,0.8021390374331551,0.8165691441266889,0.5217391304347826,1.0,0.35294117647058826,22,0,11,6,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h12m_t6m.pth
12,9,openstack/neutron,194,37.11340206185567,0.8155080213903743,0.8388267118461983,0.7142857142857143,0.9090909090909091,0.5882352941176471,21,1,7,10,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h12m_t9m.pth
12,12,openstack/neutron,194,36.597938144329895,0.8200000000000001,0.7831550738317655,0.5714285714285714,0.8571428571428571,0.42857142857142855,24,1,8,6,importants/true_irl_comprehensive_2022/models/project_openstack_neutron/irl_h12m_t12m.pth
