learning_months,prediction_months,project,n_trajectories,continuation_rate,auc_roc,auc_pr,f1,precision,recall,tn,fp,fn,tp,model_path
3,3,openstack/nova,80,60.0,0.7063492063492064,0.8345797720797723,0.72,0.5625,1.0,0,7,0,9,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h3m_t3m.pth
3,6,openstack/nova,80,58.75,0.7421875,0.7762601981351981,0.6666666666666666,0.5,1.0,0,8,0,8,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h3m_t6m.pth
3,9,openstack/nova,80,56.25,0.6428571428571429,0.8162037037037038,0.6153846153846154,1.0,0.4444444444444444,7,0,5,4,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h3m_t9m.pth
3,12,openstack/nova,80,56.25,0.7181818181818183,0.886732585596222,0.42857142857142855,1.0,0.2727272727272727,5,0,8,3,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h3m_t12m.pth
6,3,openstack/nova,125,55.2,0.6599999999999999,0.7857818396437322,0.3333333333333333,1.0,0.2,10,0,12,3,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h6m_t3m.pth
6,6,openstack/nova,125,52.800000000000004,0.7534722222222222,0.7785233285233285,0.6153846153846154,1.0,0.4444444444444444,16,0,5,4,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h6m_t6m.pth
6,9,openstack/nova,125,50.4,0.8541666666666666,0.7696488696488697,0.36363636363636365,1.0,0.2222222222222222,16,0,7,2,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h6m_t9m.pth
6,12,openstack/nova,125,49.6,0.7435897435897436,0.745377478228157,0.14285714285714285,1.0,0.07692307692307693,12,0,12,1,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h6m_t12m.pth
9,3,openstack/nova,142,54.22535211267606,0.75,0.7736197136197136,0.125,1.0,0.06666666666666667,14,0,14,1,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h9m_t3m.pth
9,6,openstack/nova,142,50.0,0.7380952380952381,0.8243047138047137,0.6086956521739131,0.875,0.4666666666666667,13,1,8,7,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h9m_t6m.pth
9,9,openstack/nova,142,47.88732394366197,0.5333333333333333,0.6610878337348924,0.23529411764705882,1.0,0.13333333333333333,14,0,13,2,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h9m_t9m.pth
9,12,openstack/nova,142,47.183098591549296,0.6333333333333334,0.721140477468258,0.5263157894736842,1.0,0.35714285714285715,15,0,9,5,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h9m_t12m.pth
12,3,openstack/nova,168,48.214285714285715,0.7508650519031141,0.8399221070859301,0.6666666666666666,0.9,0.5294117647058824,16,1,8,9,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h12m_t3m.pth
12,6,openstack/nova,168,44.642857142857146,0.7727272727272727,0.7189733469145235,0.375,0.75,0.25,21,1,9,3,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h12m_t6m.pth
12,9,openstack/nova,168,42.857142857142854,0.5421245421245422,0.5297246001981869,0.25,0.6666666666666666,0.15384615384615385,20,1,11,2,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h12m_t9m.pth
12,12,openstack/nova,168,41.07142857142857,0.7250000000000001,0.7242463993241799,0.47619047619047616,0.7142857142857143,0.35714285714285715,18,2,9,5,importants/true_irl_comprehensive_2022/models/project_openstack_nova/irl_h12m_t12m.pth
